week,date,day,home,score,away,xG,xG_1,venue,referee
23,2019-02-09,Sat,Espanyol,2–1,Rayo Vallecano,2.0,0.6,RCDE Stadium,Eduardo Prieto
23,2019-02-09,Sat,Girona,0–2,Huesca,1.4,0.6,Estadi Municipal de Montilivi,Adrián Cordero
23,2019-02-10,Sun,Leganés,3–0,Betis,1.6,0.1,Estadio Municipal de Butarque,Hsu Jason
23,2019-02-10,Sun,Valencia,0–0,Real Sociedad,1.5,0.5,Estadio de Mestalla,Mario Melero
23,2019-02-10,Sun,Sevilla,2–2,Eibar,1.7,1.3,Estadio Ramón Sánchez Pizjuán,Ignacio Iglesias
23,2019-02-10,Sun,Athletic Club,0–0,Barcelona,1.3,0.7,San Mamés,Carlos del Cerro
23,2019-02-11,Mon,Alavés,2–0,Levante,1.7,0.3,Estadio de Mendizorroza,Alberto Undiano
24,2019-02-15,Fri,Eibar,2–2,Getafe,1.8,0.7,Estadio Municipal de Ipurúa,David Medié
24,2019-02-16,Sat,Celta Vigo,1–4,Levante,1.6,2.8,Estadio de Balaídos,Santiago Jaime
24,2019-02-16,Sat,Rayo Vallecano,0–1,Atlético Madrid,1.0,0.2,Estadio del Rayo Vallecano,Jesús Gil
24,2019-02-16,Sat,Real Sociedad,3–0,Leganés,1.7,1.2,Estadio Municipal de Anoeta,José Luis Munuera
