Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee
27.0,Sun,2019-03-10,18:30,Levante,1.1,0–2,1.0,Villarreal,20149.0,Estadio Ciudad de Valencia,José Sánchez
27.0,Sun,2019-03-10,18:30,Sevilla,2.4,5–2,1.2,Real Sociedad,35813.0,Estadio Ramón Sánchez Pizjuán,Ignacio Iglesias
27.0,Sun,2019-03-10,20:45,Valladolid,2.2,1–4,2.8,Real Madrid,21914.0,Estadio Municipal José Zorrilla,Jesús Gil
28.0,Fri,2019-03-15,21:00,Real Sociedad,2.9,1–1,1.3,Levante,20605.0,Estadio Municipal de Anoeta,Adrián Cordero
28.0,Sat,2019-03-16,13:00,Huesca,1.5,1–3,2.3,Alavés,6811.0,Estadio El Alcoraz,Alberto Undiano
28.0,Sat,2019-03-16,16:15,Real Madrid,2.5,2–0,0.4,Celta Vigo,65054.0,Estadio Santiago Bernabéu,Juan Martínez
28.0,Sat,2019-03-16,18:30,Athletic Club,1.3,2–0,0.9,Atlético Madrid,39659.0,San Mamés,Santiago Jaime
28.0,Sat,2019-03-16,20:45,Leganés,0.6,0–2,1.5,Girona,9873.0,Estadio Municipal de Butarque,José Luis Munuera
28.0,Sun,2019-03-17,12:00,Eibar,2.1,1–2,2.4,Valladolid,4508.0,Estadio Municipal de Ipurúa,David Medié
28.0,Sun,2019-03-17,16:15,Espanyol,0.7,0–1,1.5,Sevilla,20219.0,RCDE Stadium,Guillermo Cuadra
28.0,Sun,2019-03-17,18:30,Villarreal,2.5,3–1,0.2,Rayo Vallecano,17117.0,Estadio de la Cerámica,José González
28.0,Sun,2019-03-17,18:30,Valencia,0.6,0–0,0.5,Getafe,41778.0,Estadio de Mestalla,José Sánchez
28.0,Sun,2019-03-17,20:45,Betis,1.2,1–4,3.0,Barcelona,54172.0,Estadio Benito Villamarín,Ricardo de Burgos
29.0,Fri,2019-03-29,21:00,Girona,0.4,1–2,1.0,Athletic Club,10652.0,Estadi Municipal de Montilivi,José Sánchez
29.0,Sat,2019-03-30,13:00,Getafe,0.6,0–2,1.3,Leganés,12705.0,Coliseum Alfonso Pérez,Pablo González
29.0,Sat,2019-03-30,16:15,Barcelona,1.3,2–0,0.2,Espanyol,92795.0,Camp Nou,Carlos del Cerro
29.0,Sat,2019-03-30,18:30,Celta Vigo,1.8,3–2,2.5,Villarreal,22315.0,Estadio de Balaídos,Jesús Gil
29.0,Sat,2019-03-30,20:45,Alavés,0.8,0–4,1.5,Atlético Madrid,19117.0,Estadio de Mendizorroza,Mario Melero
29.0,Sun,2019-03-31,12:00,Levante,1.0,2–2,2.3,Eibar,16179.0,Estadio Ciudad de Valencia,Eduardo Prieto
29.0,Sun,2019-03-31,14:00,Rayo Vallecano,2.2,1–1,0.6,Betis,12310.0,Estadio del Rayo Vallecano,Antonio Matéu Lahoz
29.0,Sun,2019-03-31,16:15,Sevilla,0.9,0–1,1.0,Valencia,38450.0,Estadio Ramón Sánchez Pizjuán,José González
29.0,Sun,2019-03-31,18:30,Valladolid,2.5,1–1,0.9,Real Sociedad,18775.0,Estadio Municipal José Zorrilla,Hsu Jason
29.0,Sun,2019-03-31,20:45,Real Madrid,4.1,3–2,1.7,Huesca,49269.0,Estadio Santiago Bernabéu,Daniel Ask
30.0,Tue,2019-04-02,19:30,Atlético Madrid,2.5,2–0,0.8,Girona,40863.0,Estadio Wanda Metropolitano,Ignacio Iglesias
30.0,Tue,2019-04-02,20:30,Espanyol,1.7,1–1,1.5,Getafe,16322.0,RCDE Stadium,Ricardo de Burgos
30.0,Tue,2019-04-02,21:30,Villarreal,2.2,4–4,2.7,Barcelona,19515.0,Estadio de la Cerámica,Alejandro Hernández
30.0,Wed,2019-04-03,19:30,Athletic Club,1.8,3–2,1.5,Levante,36450.0,San Mamés,José Luis Munuera
30.0,Wed,2019-04-03,20:30,Huesca,3.3,3–3,2.0,Celta Vigo,6552.0,Estadio El Alcoraz,Adrián Cordero
30.0,Wed,2019-04-03,20:30,Eibar,1.6,2–1,0.9,Rayo Vallecano,3940.0,Estadio Municipal de Ipurúa,Alberto Undiano
30.0,Wed,2019-04-03,21:30,Valencia,1.8,2–1,0.8,Real Madrid,44274.0,Estadio de Mestalla,Santiago Jaime
30.0,Thu,2019-04-04,19:30,Sevilla,1.9,2–0,0.6,Alavés,33212.0,Estadio Ramón Sánchez Pizjuán,Juan Martínez
30.0,Thu,2019-04-04,20:30,Leganés,1.7,1–0,0.8,Valladolid,10185.0,Estadio Municipal de Butarque,Guillermo Cuadra
30.0,Thu,2019-04-04,21:30,Real Sociedad,2.5,2–1,1.3,Betis,16417.0,Estadio Municipal de Anoeta,David Medié
31.0,Sat,2019-04-06,13:00,Girona,1.5,1–2,0.4,Espanyol,11463.0,Estadi Municipal de Montilivi,Eduardo Prieto
31.0,Sat,2019-04-06,16:15,Real Madrid,1.6,2–1,0.8,Eibar,50284.0,Estadio Santiago Bernabéu,Pablo González
31.0,Sat,2019-04-06,18:30,Rayo Vallecano,1.5,2–0,2.3,Valencia,11320.0,Estadio del Rayo Vallecano,Hsu Jason
